OBJECTID,6 Digit Tract Code,Census ID,1.1: Proximity to schools (raw values),1.2: Proximity to modernized schools (raw values),1.3: Proximity to playgrounds (raw values),1.4: Proximity to crossing guards (raw values),1.5: Safe routes to school (raw values),1.6: Proximity to libraries (raw values),1.7: Access to wireless hotspots (raw values),1.8: Access to broadband internet (raw values),1.9: Proximity to recreation centers (raw values),2.1: Travel time to work (raw values),3.1: Proximity to banking institutions (raw values),3.2: Proximity to cash checking institutions (raw values),4.1: Housing stock quality (raw values),4.2: Share of homes built since 1970 (raw values),4.3: Distribution of affordable housing (raw values),4.4: Proximity to vacant or blighted houses (raw values),5.1: Proximity to Metro bus (raw values),5.2: Proximity to Metro station (raw values),5.3: Proximity to Capital Bikeshare locations (raw values),5.4: Access to bike lanes (raw values),5.5: Sidewalk quality (raw values),5.6: Parking availability (raw values),6.1: Proximity to grocery stores (raw values),6.2: Low Food Access areas (raw values),6.3: Proximity to farmers markets (raw values),6.4: Availability of healthy food within stores (raw values),6.5: Proximity to restaurants (raw values),6.6: Proximity to liquor stores (raw values),7.1: Proximity to health care facilities (raw values),7.2: Proximity to mental health facilities and providers (raw values),8.1: Tree canopy (raw values),8.2: Proximity to parks (raw values),8.3: Proximity to trails (raw values),8.4: Presence of mix of land uses (raw values),8.5: Positive land uses (raw values),8.6: Flood Plains (raw values),9.1: Proximity to vacant lots (raw values),9.2: Streetlight coverage (raw values),9.3: Proximity to police department locations (raw values),9.4: Proximity to fire stations (raw values),9.5: Proximity to High Injury Network Corridors (raw values),1.1: Proximity to schools (percentiles),1.2: Proximity to modernized schools (percentiles),1.3: Proximity to playgrounds (percentiles),1.4: Proximity to crossing guards (percentiles),1.5: Safe routes to school (percentiles),1.6: Proximity to libraries (percentiles),1.7: Access to wireless hotspots (percentiles),1.8: Access to broadband internet (percentiles),1.9: Proximity to recreation centers (percentiles),2.1: Travel time to work (percentiles),3.1: Proximity to banking institutions (percentiles),3.2: Proximity to cash checking institutions (percentiles),4.1: Housing stock quality (percentiles),4. 2: Share of homes built since 1970 (percentiles),4.3: Distribution of affordable housing (percentiles),4.4: Proximity to vacant or blighted houses (percentiles),5.1: Proximity to Metro bus (percentiles),5.2: Proximity to Metro station (percentiles),5.3: Proximity to Capital Bikeshare locations (percentiles),5.4: Access to bike lanes (percentiles),5.5: Sidewalk quality (percentiles),5.6: Parking availability (percentiles),6.1: Proximity to grocery stores (percentiles),6.2: Low Food Access areas (percentiles),6.3: Proximity to farmers markets (percentiles),6.4: Availability of healthy food within stores (percentiles),6.5: Proximity to restaurants (percentiles),6.6: Proximity to liquor stores (percentiles),7.1: Proximity to health care facilities (percentiles),7.2: Proximity to mental health facilities and providers (percentiles),8.1: Tree canopy (percentiles),8.2: Proximity to parks (percentiles),8.3: Proximity to trails (percentiles),8.4: Presence of mix of land uses (percentiles),8.5: Positive land uses (percentiles),8.6: Flood Plains (percentiles),9.1: Proximity to vacant lots (percentiles),9.2: Streetlight coverage (percentiles),9.3: Proximity to police department locations (percentiles),9.4: Proximity to fire stations (percentiles),9.5: Proximity to High Injury Network Corridors (percentiles),Driver 1: Education (percentiles),Driver 2: Employment (percentiles),Driver 3: Financial Institutions (percentiles),Driver 4: Housing (percentiles),Driver 5: Transportation (percentiles),Driver 6: Food Environment (percentiles),Driver 7: Medical Care (percentiles),Driver 8: Outdoor Environment (percentiles),Driver 9: Community Safety (percentiles),Overall Driver Score (percentiles),Bottom 10th percentile census tracts,Driver 1: Education (raw values),Driver 2: Employment (raw values),Driver 3: Financial Institutions (raw),Driver 4: Housing (raw values),Driver 5: Transportation (raw values),Driver 6: Food Environment (raw values),Driver 7: Medical Care (raw values),Driver 8: Outdoor Environment (raw values),Driver 9: Community Safety (raw values)
1,009807,11001009807,0.999899379,0,0.515735143,0.152875959,0,0.813928212,0.999899379,0.645201238,0.901442211,0.504341534,0.938879361,0.124216706,0.028948292,0.359045505,0.234739179,0.686137847,0.458167103,0,0.279321677,0.038748222,0.997641509,0.958629161,0.871482195,0.244390501,0.813928212,0.821537827,0.357571622,0.079475403,0.960429794,0.713723637,0.465678049,0,0.366116701,0.569004409,0.757174841,0.999433534,0.909767184,0.287707467,0,0.789587694,0.874904758,0.446601942,0.11407767,0.432038835,0.708737864,0.313106796,0.485436893,0.470873786,0.024509804,0.242718447,0.019417476,0.150485437,0.718446602,0.252427184,0.656862745,0.862745098,0.597087379,0.310679612,0.075242718,0.169902913,0.446601942,0.936893204,0.868932039,0.325242718,0.281553398,0.412621359,0.412621359,0.262135922,0.868932039,0.286407767,0.436893204,0.844660194,0.080097087,0.495145631,0.436893204,0.208737864,0.368932039,0.310679612,0.485436893,0.165048544,0.349514563,0.54368932,0.199029126,0.019417476,0.317961165,0.694174757,0.59223301,0.281553398,0.305825243,0.184466019,0.199029126,0.116504854,0,0.372165905,0.019417476,0.434466019,0.592280602,0.526895631,0.321903851,0.324029126,0.422330097,0.388252427
2,009802,11001009802,0.999900924,0,0.999900924,0.26136185,0,0.648101151,0.999900924,0.683709869,0.999900924,0.478510029,0.999900924,9.90758E-05,0.001210728,0.251572327,0.348008386,0.534834562,0.749489574,0,0,0,0.99276411,0.913529147,0.831751182,9.90758E-05,0.999900924,0.999900924,0.622936924,9.90758E-05,0.999900924,0.999900924,0.265524194,0.555198351,0.403622199,0.5,0.9208756,1,0.811672022,0.217850343,0,0.989331362,1,0.631067961,0.11407767,0.912621359,0.868932039,0.313106796,0.383495146,0.655339806,0.049019608,0.723300971,0.014563107,0.674757282,0.242718447,0.09223301,0.460784314,0.916666667,0.475728155,0.786407767,0.075242718,0.009708738,0.106796117,0.616504854,0.315533981,0.315533981,0.004854369,0.82038835,0.830097087,0.432038835,0.334951456,0.708737864,0.82038835,0.504854369,0.538834951,0.509708738,0.089805825,0.587378641,0.686893204,0.169902913,0.233009709,0.165048544,0.509708738,0.912621359,0.597087379,0.014563107,0.461165049,0.475728155,0.121359223,0.59223301,0.791262136,0.558252427,0.330097087,0.373786408,0,0.530678898,0.014563107,0.458737864,0.486353036,0.329745146,0.49806816,0.736650485,0.515776699,0.426941748
3,009803,11001009803,0.999894469,0,0.171991449,0.088982871,0.699217955,0.927700048,0.999894469,0.772940388,0.999894469,0.685758514,0.999894469,0.000105531,0.068340582,0.443447038,0.119688809,0.483494001,0.581316838,0.001523552,0.691612038,0.013004604,0.995131451,0.903087746,0.964574564,0.047339293,0.999894469,0.999894469,0.521007462,0.000105531,0.999894469,0.251018181,0.281202435,0.36371492,0.921297862,0.561421253,0.877611654,0.892688615,0.8562827,0.225445867,0,0.999894469,0.921152999,0.208737864,0.11407767,0.208737864,0.480582524,0.893203883,0.529126214,0.242718447,0.200980392,0.451456311,0.184466019,0.310679612,0.509708738,0.412621359,0.774509804,0.700980392,0.393203883,0.548543689,0.150485437,0.485436893,0.300970874,0.830097087,0.233009709,0.373786408,0.101941748,0.631067961,0.616504854,0.349514563,0.708737864,0.441747573,0.22815534,0.558252427,0.436893204,0.873786408,0.402912621,0.470873786,0.17961165,0.218446602,0.247572816,0.165048544,0.606796117,0.655339806,0.242718447,0.184466019,0.046116505,0.650485437,0.203883495,0.432038835,0.359223301,0.45631068,0.208737864,0.111650485,0,0.389224015,0.184466019,0.410194175,0.57032886,0.375728155,0.409719291,0.388349515,0.497087379,0.393932039
4,002002,11001002002,0.999898703,0.999898703,0.999869002,0.105416933,0.39731223,0.54674373,0.999898703,0.889110226,0.999898703,0.695966285,0.999898703,0.000101297,0.047558892,0.124694377,0.04400978,0.361276157,0.636247148,0.111115363,0.772224692,0.051059267,0.994433621,0.925696884,0.908078396,0.247585278,0.999898703,0.999898703,0.837970603,0.000101297,0.999898703,0.587424732,0.320468839,0.039843066,0.003332331,0.566930306,0.983876989,1,0.913794093,0.319692016,0.453307926,0.999898703,0.815705007,0.383495146,0.849514563,0.805825243,0.563106796,0.82038835,0.354368932,0.412621359,0.460784314,0.567961165,0.213592233,0.466019417,0.373786408,0.334951456,0.225490196,0.470588235,0.291262136,0.631067961,0.218446602,0.533980583,0.461165049,0.786407767,0.490291262,0.344660194,0.291262136,0.703883495,0.723300971,0.59223301,0.54368932,0.567961165,0.373786408,0.645631068,0.189320388,0.27184466,0.427184466,0.898058252,0.686893204,0.330097087,0.621359223,0.558252427,0.713592233,0.344660194,0.665048544,0.213592233,0.235436893,0.165048544,0.538834951,0.640776699,0.52184466,0.432038835,0.609223301,0.415048544,0,0.561015134,0.213592233,0.419902913,0.330573006,0.504067961,0.519548965,0.519417476,0.491262136,0.519708738
5,002101,11001002101,0.999901402,0.999766216,0.895556808,0.222397061,0.999901402,0.278853389,0.999901402,0.831951113,0.999901402,0.637706648,0.999901402,9.85984E-05,0.032074044,0.281979083,0.151649236,0.107432643,0.552617174,0,0.912828105,0,0.994541798,0.919769168,0.999901402,0.404172417,0.999901402,0.999901402,0.959175923,9.85984E-05,0.999901402,0.999901402,0.244932319,0,0,0.609012914,0.962012379,1,0.833962123,0.34987154,0.817312379,0.999901402,0.873563241,0.684466019,0.766990291,0.67961165,0.815533981,0.985436893,0.208737864,0.699029126,0.323529412,0.762135922,0.09223301,0.713592233,0.218446602,0.276699029,0.495098039,0.75,0.077669903,0.470873786,0.075242718,0.597087379,0.106796117,0.805825243,0.383495146,0.762135922,0.422330097,0.839805825,0.854368932,0.713592233,0.291262136,0.757281553,0.844660194,0.412621359,0.080097087,0.133495146,0.548543689,0.752427184,0.686893204,0.199029126,0.723300971,0.713592233,0.815533981,0.533980583,0.849514563,0.09223301,0.507281553,0.286407767,0.218446602,0.868932039,0.830097087,0.111650485,0.805825243,0.524271845,0,0.68458024,0.09223301,0.466019417,0.399866743,0.388065534,0.672339957,0.779126214,0.392718447,0.620145631
6,002900,11001002900,0.99990385,0.99990385,0.99990385,0.119760218,0.786685856,0.99990385,0.99990385,0.92119403,0.99990385,0.815416667,0.99990385,9.61501E-05,0.018082269,0.206695005,0.053666312,0.002915808,0.545755969,0.99990385,0.99990385,0.125731252,0.995129376,0.942752367,0.99990385,1,0.99990385,0.99990385,0.99990385,9.61501E-05,0.99990385,0.99990385,0.187802908,0.99990385,0.020187844,0.602283836,0.986488092,1,0.887693005,0.422717074,0.99990385,0.99990385,0.817749422,0.878640777,0.912621359,0.961165049,0.611650485,0.902912621,0.917475728,0.878640777,0.578431373,0.898058252,0.553398058,0.878640777,0.116504854,0.218446602,0.382352941,0.534313725,0.004854369,0.461165049,0.917475728,0.932038835,0.689320388,0.825242718,0.689320388,0.893203883,0.932038835,0.917475728,0.922330097,0.927184466,0.126213592,0.888349515,0.922330097,0.257281553,0.946601942,0.300970874,0.533980583,0.927184466,0.686893204,0.262135922,0.912621359,0.95631068,0.90776699,0.349514563,0.966019417,0.553398058,0.645631068,0.09223301,0.941747573,0.975728155,0.922330097,0.827669903,0.917475728,0.932038835,0,0.840105654,0.553398058,0.497572816,0.284991909,0.732242718,0.827679518,0.89684466,0.584466019,0.693786408
7,003100,11001003100,0.999905928,0.999905928,0.831979276,0.12770761,0.9705875,0.900983615,0.999905928,0.870949074,0.999905928,0.813265306,0.999905928,9.4072E-05,0.02371735,0.302465753,0.154520548,0.005126455,0.893870846,0.999905928,0.999905928,0.095166334,0.995165189,0.920964166,0.999905928,0.870304607,0.999905928,0.999905928,0.999905928,9.4072E-05,0.999905928,0.999905928,0.178050443,0.999905928,0,0.645256211,0.921169479,1,0.606648511,0.46207268,0.999905928,0.999905928,0.747387144,0.95631068,0.961165049,0.616504854,0.645631068,0.941747573,0.519417476,0.95631068,0.411764706,0.961165049,0.529126214,0.95631068,0.04368932,0.242718447,0.553921569,0.759803922,0.009708738,0.951456311,0.970873786,0.970873786,0.621359223,0.834951456,0.40776699,0.961165049,0.742718447,0.970873786,0.966019417,0.975728155,0.048543689,0.961165049,0.970873786,0.223300971,0.975728155,0.133495146,0.631067961,0.59223301,0.686893204,0.053398058,0.95631068,0.990291262,0.966019417,0.184466019,0.951456311,0.529126214,0.699029126,0.252427184,0.927184466,0.985436893,0.970873786,0.628640777,0.873786408,0.927184466,0,0.815348372,0.529126214,0.5,0.391538169,0.726854369,0.843820087,0.963592233,0.526213592,0.652961165
8,003200,11001003200,0.999900354,0.999529177,0.986840504,0.250177614,0.379689658,0.555739711,0.999900354,0.857940447,0.999900354,0.74929972,0.999900354,9.96463E-05,0.003587601,0.078354554,0.08374143,0.02232031,0.610535116,0.999900354,0.828006806,0.241386048,0.99618204,0.917328237,0.995154057,0.294596891,0.987917665,0.999900354,0.952877153,9.96463E-05,0.999900354,0.588118904,0.177071099,0.857428424,0,0.585750934,0.960850794,1,0.534134923,0.38472774,0.999900354,0.960829278,0.827479359,0.553398058,0.757281553,0.752427184,0.854368932,0.800970874,0.36407767,0.577669903,0.382352941,0.669902913,0.325242718,0.601941748,0.291262136,0.111650485,0.12745098,0.637254902,0.024271845,0.601941748,0.786407767,0.567961165,0.873786408,0.898058252,0.368932039,0.422330097,0.32038835,0.5,0.776699029,0.689320388,0.402912621,0.660194175,0.378640777,0.218446602,0.665048544,0.133495146,0.5,0.742718447,0.686893204,0.033980583,0.82038835,0.883495146,0.470873786,0.393203883,0.805825243,0.325242718,0.381067961,0.033980583,0.800970874,0.650485437,0.597087379,0.32038835,0.665048544,0.533980583,0,0.639841519,0.325242718,0.446601942,0.225157053,0.616121359,0.524888605,0.589805825,0.465048544,0.553349515
9,003400,11001003400,0.999900126,0.547458182,0.448286527,0,0,0.663846143,0.999900126,0.794960904,0.999900126,0.831765935,0.999900126,9.98742E-05,0.029810503,0.129722024,0.08766928,0.560555621,0.535702054,0.845341956,0.825125068,0.114637796,0.981441386,0.884028411,0.875898376,0.010556368,0.083110525,0.999900126,0.75183649,9.98742E-05,0.999900126,0.61873602,0.140925014,0.934796355,0,0.742408417,0.967124763,1,0.987779729,0.23348399,0.992877731,0.914335479,0.83750956,0.524271845,0.553398058,0.368932039,0.097087379,0.313106796,0.398058252,0.553398058,0.225490196,0.655339806,0.631067961,0.582524272,0.305825243,0.262135922,0.25,0.647058824,0.495145631,0.441747573,0.475728155,0.563106796,0.67961165,0.165048544,0.121359223,0.330097087,0.063106796,0.121359223,0.77184466,0.495145631,0.417475728,0.645631068,0.402912621,0.121359223,0.713592233,0.133495146,0.791262136,0.791262136,0.686893204,0.54368932,0.281553398,0.77184466,0.422330097,0.412621359,0.305825243,0.631067961,0.368932039,0.32038835,0.169902913,0.36407767,0.587378641,0.422330097,0.485436893,0.310679612,0,0.426438464,0.631067961,0.444174757,0.413585094,0.350674757,0.365422609,0.584951456,0.489320388,0.46961165
10,003500,11001003500,0.999901289,0.935705655,0.996045956,0,0.882328433,0.762838921,0.999901289,0.798784605,0.999901289,0.792567942,0.999901289,9.87114E-05,0.234183889,0.570666667,0.140266667,0.287968354,0.747228739,0.999901289,0.999901289,0.094040108,0.992194276,0.858757702,0.999901289,0.385754977,0.507240122,0.999901289,0.999901289,9.87114E-05,0.999901289,0.999901289,0.146519758,0.999901289,0,0.781911395,0.942526658,1,0.992133084,0.351383752,0.999901289,0.999901289,0.740623635,0.67961165,0.684466019,0.77184466,0.097087379,0.917475728,0.451456311,0.694174757,0.240196078,0.757281553,0.451456311,0.708737864,0.223300971,0.640776699,0.867647059,0.720588235,0.223300971,0.781553398,0.830097087,0.883495146,0.611650485,0.558252427,0.053398058,0.757281553,0.398058252,0.262135922,0.849514563,0.883495146,0.296116505,0.752427184,0.839805825,0.140776699,0.90776699,0.133495146,0.868932039,0.655339806,0.686893204,0.587378641,0.733009709,0.912621359,0.810679612,0.174757282,0.723300971,0.451456311,0.507281553,0.733009709,0.567961165,0.742718447,0.825242718,0.628640777,0.825242718,0.815533981,0,0.59859723,0.451456311,0.466019417,0.613078241,0.516135922,0.585932201,0.774271845,0.526213592,0.627524272
11,005302,11001005302,0.999889164,0.743758642,0.999889164,0.710901796,0,0.318692049,0.999889164,0.958513932,0.999889164,0.886545455,0.999889164,0.000110836,0.552769667,0.202502844,0.036405006,0.076903923,0.397809761,0.999889164,0.999889164,0.421426253,0.985743381,0.908080277,0.999889164,1,0.999889164,0.999889164,0.999889164,0.000110836,0.999889164,0.999889164,0.189133425,0.135103951,0,0.74197582,0.991677145,1,1,0.468555694,0.999889164,0.999889164,1,0.145631068,0.606796117,0.82038835,1,0.313106796,0.233009709,0.17961165,0.779411765,0.388349515,0.762135922,0.247572816,0.577669903,0.922330097,0.37254902,0.431372549,0.063106796,0.262135922,0.606796117,0.77184466,1,0.262135922,0.296116505,0.475728155,0.932038835,0.572815534,0.572815534,0.77184466,0.77184466,0.388349515,0.631067961,0.276699029,0.266990291,0.133495146,0.786407767,0.951456311,0.686893204,0.825242718,0.970873786,0.796116505,0.548543689,0.912621359,0.344660194,0.762135922,0.152912621,0.393203883,0.417475728,0.752427184,0.417475728,0.257281553,0.975728155,0.514563107,0,0.448443746,0.762135922,0.412621359,0.447339615,0.471194175,0.58811788,0.449029126,0.446601942,0.823058252
12,004402,11001004402,0.999905698,0.999905698,0.996817,0.372554069,0,0.999905698,0.999905698,0.973214286,0.999905698,0.955738935,0.999905698,9.43019E-05,0.168854911,0.34423676,0.072429907,0.058078698,0.808023483,0.999905698,0.999905698,0.21728893,0.989920056,0.902236887,0.999905698,0.906212055,0.029866515,0.999905698,0.999905698,9.43019E-05,0.999905698,0.999905698,0.173515982,0.999905698,0,0.754254835,0.881833254,1,0.952676551,0.467352348,0.950160984,0.999905698,0.638392996,0.936893204,0.951456311,0.776699029,0.946601942,0.313106796,0.966019417,0.936893204,0.87745098,0.946601942,0.975728155,0.936893204,0.063106796,0.59223301,0.62745098,0.598039216,0.029126214,0.849514563,0.951456311,0.95631068,0.839805825,0.402912621,0.223300971,0.941747573,0.752427184,0.097087379,0.961165049,0.961165049,0.067961165,0.941747573,0.95631068,0.199029126,0.970873786,0.133495146,0.825242718,0.480582524,0.686893204,0.441747573,0.966019417,0.752427184,0.946601942,0.106796117,0.975728155,0.975728155,0.699029126,0.427184466,0.810679612,0.86407767,0.95631068,0.650485437,0.839805825,0.970873786,0,0.853490862,0.975728155,0.5,0.461712355,0.619742718,0.663723022,0.94538835,0.528640777,0.642135922
13,010602,11001010602,0.999900471,0.999900471,0.345720595,0.408902475,0.844568791,0.973634556,0.999900471,0.90999617,0.999900471,0.819468416,0.999900471,9.95288E-05,0.340932329,0.515532056,0.223397224,0.133330725,0.741064004,0.999900471,0.999900471,0.273257292,0.982369255,0.939521786,0.999900471,0.859329306,0.999900471,0.999900471,0.999900471,9.95288E-05,0.999900471,0.999900471,0.162613755,0.241653365,0.57226809,0.771710194,0.583407268,1,0.809814052,0.383025288,0,0.9066687,0.768086516,0.572815534,0.859223301,0.305825243,0.961165049,0.90776699,0.59223301,0.597087379,0.549019608,0.689320388,0.582524272,0.621359223,0.276699029,0.781553398,0.838235294,0.857843137,0.111650485,0.766990291,0.800970874,0.859223301,0.922330097,0.174757282,0.640776699,0.718446602,0.733009709,0.786407767,0.791262136,0.868932039,0.388349515,0.67961165,0.791262136,0.165048544,0.368932039,0.601941748,0.849514563,0.058252427,0.686893204,0.160194175,0.810679612,0.165048544,0.417475728,0.208737864,0.873786408,0.582524272,0.402912621,0.805825243,0.898058252,0.90776699,0.757281553,0.286407767,0.189320388,0.791262136,0,0.697972587,0.582524272,0.449029126,0.647320579,0.691407767,0.710325487,0.707524272,0.455339806,0.37776699
14,000804,11001000804,0.98786602,0,0.090580935,0.013211165,0,0.42404726,0.983269959,0.988636364,0.580085571,0.906816221,0.908734458,0.566974749,0.690029844,0.271714922,0.007423905,0.948548677,0.140168325,0,0.252483767,0.02741759,0.982834994,0.984097947,0.513660416,0.540576006,0.424332952,0,0.190054815,0.333345203,0.088994505,0,0.688456999,0.31589347,0.900144492,0.522413282,0.852696724,0.937244021,0.991648647,0.205346933,0.054402264,0.468771832,1,0.121359223,0.11407767,0.150485437,0.257281553,0.313106796,0.276699029,0.145631068,0.950980392,0.087378641,0.839805825,0.131067961,0.883495146,0.970873786,0.485294118,0.269607843,0.898058252,0.024271845,0.075242718,0.145631068,0.398058252,0.194174757,0.980582524,0.199029126,0.54368932,0.233009709,0.101941748,0.126213592,0.951456311,0.029126214,0.063106796,0.985436893,0.412621359,0.839805825,0.194174757,0.378640777,0.242718447,0.577669903,0.199029126,0.383495146,0.189320388,0.912621359,0.09223301,0.839805825,0.776699029,0.830097087,0.276699029,0.087378641,0.004854369,0.740291262,0.432038835,0.436893204,0,0.237524986,0.839805825,0.507281553,0.6559585,0.423584951,0.223504423,0.037621359,0.553398058,0.456504854
15,004001,11001004001,0.999903833,0.026366496,0.999903833,0.126212804,0,0.175028913,0.999903833,0.963898917,0.999903833,0.792318151,0.999903833,9.61666E-05,0.46093944,0.087161366,0,0.754075002,0.636383074,0.999903833,0.983814302,0.10598373,0.99323181,0.931159719,0.999903833,1,0.999903833,0.174520444,0.935669946,9.61666E-05,0.999903833,0.999903833,0.377969121,0.999903833,0.61185194,0.556721596,0.992364819,0.951865319,1,0.384405975,0.999903833,0.999903833,0.817981023,0.873786408,0.281553398,0.95631068,0.63592233,0.313106796,0.140776699,0.873786408,0.818627451,0.893203883,0.446601942,0.873786408,0.121359223,0.854368932,0.156862745,0.090686275,0.655339806,0.63592233,0.912621359,0.699029126,0.655339806,0.684466019,0.572815534,0.888349515,0.932038835,0.912621359,0.257281553,0.674757282,0.131067961,0.883495146,0.917475728,0.757281553,0.941747573,0.63592233,0.368932039,0.95631068,0.281553398,0.825242718,0.815533981,0.951456311,0.902912621,0.354368932,0.810679612,0.446601942,0.645631068,0.36407767,0.868932039,0.800970874,0.917475728,0.961165049,0.941747573,0.912621359,0,0.644346088,0.446601942,0.497572816,0.439314439,0.67561165,0.609354277,0.891990291,0.655825243,0.748640777
16,004002,11001004002,0.999902286,0.201817651,0.999902286,0.49444171,0,0.18081715,0.999902286,0.980019493,0.999902286,0.959253805,0.999902286,9.77141E-05,0.339345717,0.250207814,0.002493766,0.269807341,0.711565786,0.999902286,0.999902286,0.215193846,0.991851852,0.92925249,0.999902286,0.976963172,0.999902286,0.733351353,0.999902286,9.77141E-05,0.999902286,0.999902286,0.152088095,0.998675589,0,0.717843718,0.966672491,1,1,0.355366585,0.999902286,0.999902286,0.877264895,0.776699029,0.40776699,0.941747573,0.985436893,0.313106796,0.145631068,0.781553398,0.916666667,0.815533981,0.985436893,0.786407767,0.17961165,0.776699029,0.450980392,0.220588235,0.203883495,0.733009709,0.868932039,0.90776699,0.830097087,0.524271845,0.553398058,0.815533981,0.830097087,0.878640777,0.383495146,0.898058252,0.22815534,0.810679612,0.883495146,0.150485437,0.786407767,0.133495146,0.708737864,0.776699029,0.686893204,0.825242718,0.747572816,0.922330097,0.86407767,0.553398058,0.830097087,0.985436893,0.580097087,0.315533981,0.90776699,0.854368932,0.868932039,0.480582524,0.951456311,0.917475728,0,0.669781553,0.985436893,0.483009709,0.413037788,0.703087379,0.656927247,0.828883495,0.5,0.767184466
17,003600,11001003600,0.999899151,0.443699793,0.999899151,0,0.999899151,0.853756253,0.999899151,0.88340192,0.999899151,0.832948929,0.999899151,0.000100849,0.321325032,0.410806175,0.158662093,0.265341222,0.655432864,0.999899151,0.999899151,0.149708885,0.997477137,0.906045465,0.999899151,0.963730076,0.99979201,0.999899151,0.973629148,0.000100849,0.999899151,0.999899151,0.170705867,0.999899151,0,0.544450758,0.860154492,1,0.798474781,0.289402439,0.999899151,0.999899151,0.81895795,0.427184466,0.509708738,0.888349515,0.097087379,0.966019417,0.509708738,0.451456311,0.441176471,0.587378641,0.640776699,0.504854369,0.349514563,0.766990291,0.730392157,0.779411765,0.199029126,0.684466019,0.757281553,0.834951456,0.757281553,0.932038835,0.27184466,0.645631068,0.805825243,0.563106796,0.742718447,0.723300971,0.504854369,0.59223301,0.766990291,0.184466019,0.878640777,0.133495146,0.296116505,0.388349515,0.686893204,0.155339806,0.490291262,0.86407767,0.72815534,0.359223301,0.572815534,0.640776699,0.279126214,0.747572816,0.776699029,0.810679612,0.684466019,0.252427184,0.621359223,0.747572816,0,0.519738721,0.640776699,0.427184466,0.618955835,0.613771845,0.624403289,0.63592233,0.445145631,0.52815534
18,004201,11001004201,0.999898659,0.015287155,0.999898659,0.00214377,0,0.059814396,0.999898659,0.967213115,0.999898659,0.751463129,0.999898659,0.000101341,0.547971249,0.094928479,0.000433463,0.278169287,0.692234198,0.999898659,0.999898659,0.31451806,0.991751577,0.922463795,0.999898659,1,0.999898659,0.999898659,0.999898659,0.000101341,0.999898659,0.999898659,0.198100139,0.226150665,0,0.622875503,0.97615937,1,1,0.419097548,0.999898659,0.999898659,0.697080071,0.373786408,0.257281553,0.883495146,0.208737864,0.313106796,0.106796117,0.402912621,0.828431373,0.558252427,0.334951456,0.461165049,0.378640777,0.917475728,0.166666667,0.181372549,0.213592233,0.713592233,0.742718447,0.82038835,0.95631068,0.514563107,0.436893204,0.626213592,0.932038835,0.699029126,0.713592233,0.849514563,0.553398058,0.563106796,0.747572816,0.310679612,0.359223301,0.133495146,0.567961165,0.825242718,0.686893204,0.825242718,0.90776699,0.854368932,0.708737864,0.126213592,0.252427184,0.334951456,0.235436893,0.233009709,0.830097087,0.878640777,0.650485437,0.223300971,0.883495146,0.519417476,0,0.396659052,0.334951456,0.419902913,0.369776794,0.643893204,0.682898484,0.609223301,0.437378641,0.660679612
19,004202,11001004202,0.999903453,0.795605914,0.989398754,0.168538124,0,0.554746938,0.999903453,0.980506823,0.999903453,0.948805461,0.999903453,9.65474E-05,0.533971705,0.194663432,0,0.374053214,0.390299891,0.999903453,0.999903453,0.21419331,0.988020536,0.914379674,0.999903453,0.970806072,0.999903453,0.804800007,0.999903453,9.65474E-05,0.999903453,0.999903453,0.191775482,0.994253377,0,0.746815152,0.993286671,1,1,0.478702128,0.999903453,0.999903453,0.800086925,0.839805825,0.63592233,0.757281553,0.733009709,0.313106796,0.359223301,0.839805825,0.926470588,0.868932039,0.95631068,0.844660194,0.13592233,0.902912621,0.362745098,0.090686275,0.305825243,0.242718447,0.902912621,0.922330097,0.82038835,0.330097087,0.32038835,0.868932039,0.82038835,0.902912621,0.40776699,0.917475728,0.165048544,0.859223301,0.902912621,0.300970874,0.776699029,0.133495146,0.810679612,0.961165049,0.686893204,0.825242718,0.980582524,0.941747573,0.893203883,0.32038835,0.878640777,0.95631068,0.616504854,0.325242718,0.611650485,0.873786408,0.895631068,0.766990291,0.966019417,0.936893204,0,0.698914906,0.95631068,0.490291262,0.415542309,0.529315534,0.677194121,0.870145631,0.556796117,0.776407767
20,007407,11001007407,0.999899,0.330149,0.818675,0.253658,0.35045,0.11933,0.999899,0.824363,0.999899,0.805873,0.862373,0.420221,0.073385,0.472506,0.205243,0.510689,0.596607,0.484533,0.718742,0,0.993022,0.926978,0.074387,0.108285,0.996015,0.999899,0.189565,0.04893,0.995725,0.827617,0.373803,0,0.796045,0.578732,0.636718,1,0.611831,0.257308,0.19526,0.807258,1,0.436893,0.461165,0.606796,0.859223,0.786408,0.116505,0.461165,0.29902,0.597087,0.495146,0.106796,0.830097,0.436893,0.79902,0.848039,0.427184,0.567961,0.330097,0.504854,0.106796,0.645631,0.504854,0.087379,0.145631,0.533981,0.747573,0.121359,0.849515,0.349515,0.480583,0.742718,0.080097,0.742718,0.480583,0.097087,0.686893,0.058252,0.373786,0.451456,0.354369,0.912621,0.587379,0.495146,0.514563,0.781553,0.368932,0.315534,0.339806,0.509709,0.490291,0.504854,0,0.527766,0.495146,0.468447,0.627784,0.4575,0.35198,0.382282,0.508252,0.47
